,Classification,Name,Prefix,First,Middle,Last,Suffix,Address 1,Address 2,Address 3,Address 4,City,State / Province,Country,Zip Code,DUNS,Exclusion Program,Excluding Agency,CT Code,Exclusion Type,Additional Comments,Active Date,Termination Date,Record Status,Cross-Reference,SAM Number,CAGE,NPI
1538,Individual,,,ADEMOLA,NUL,EJIRE,,,,,,RALEIGH,NC,USA,27607,,Reciprocal,EPA,,Ineligible (Proceedings Completed),,11/04/2013,11/03/2018,,"(also ADEMOLA NUL, ADEMOLA EUIRE, ADEMOLA EJIRE, ADEMOLA EJIRE, ADEMOLA EJIRE)",S4MR4BXS5,,
1539,Individual,,,ADEMOLA,,EUIRE,,,,,,RALEIGH,NC,USA,27607,,Reciprocal,EPA,,Ineligible (Proceedings Completed),,11/04/2013,11/03/2018,,"(also ADEMOLA NUL, ADEMOLA EJIRE, ADEMOLA EJIRE, ADEMOLA EJIRE, ADEMOLA EJIRE)",S4MR4BXRK,,
1541,Individual,,,ADEMOLA,,NUL,,,,,,RALEIGH,NC,USA,27607,,Reciprocal,EPA,,Ineligible (Proceedings Completed),,11/04/2013,11/03/2018,,"(also ADEMOLA EUIRE, ADEMOLA EJIRE, ADEMOLA EJIRE, ADEMOLA EJIRE, ADEMOLA EJIRE)",S4MR4BXRJ,,
1625,Individual,,,ADOLPHO,,SILVA-CONTRERAS,,,,,,LAS VEGAS,NV,USA,891214726,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act Violation- INELIGIBLE FOR AWARDS TO BE PERFORMED AT THIS FACILITY ONLY: Smog and Diagnostic House, 2075 Palm Street, Suite 0, Las Vegas, NV 89104 (Violating Facility)",12/06/2010,Indefinite,,,S4MR3RF27,,
2520,Individual,,,ALAN,BLANE,GRANT,,,,,,ATLANTA,GA,USA,,,NonProcurement,EPA,X,Prohibition/Restriction,,,Indefinite,,"(also POLYMER CHEMICALS, INC., X CHEM, INC., POLYMER GROUP, LTD., POLYMER INDUSTRIES, INC., GAMETRONICS CORP., GREDIG INDUSTRIES, INC., CYNTHIA SHELDON)",S4MR3NXBV,,
2534,Individual,,,ALAN,,HODGSON,,,,,,METUCHEN,NJ,USA,08840,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation - ineligible for awards to be performed at this Violating Facility only: SGS Control Services (Violating Facility), 20 Lafayette St., Carteret, NJ 07008",10/07/2002,Indefinite,,,S4MR3N40G,,
2671,Individual,,,ALBANIA,,DELEON,,,,,,ALDERSON,WV,USA,24910,,Reciprocal,EPA,,Ineligible (Proceedings Completed),,06/19/2012,06/18/2027,,"(also METHUEN STAFFING, INC., METHUEN TEMP AGENCY, METHUEN STAFFING INC, ECT TRAINING SCHOOL, METHUEN STAFFING INC, A-PRO SERVICES & CLEANING)",S4MR3RKMJ,,
2718,Individual,,,ALBERT,DAVID,HAJDUK,,,,,,FRUITA,CO,USA,81521,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: Luxury Wheels O.E. Plating, Inc., 1440 Winters Ave., Grand Junction, CO 81501-3863 (Violating Facility)",09/29/2006,Indefinite,,,S4MR3NFK8,,
3200,Individual,,,ALEX,,GALPERIN,,,,,,OCEANSIDE,NY,USA,11572,,Reciprocal,EPA,H,Prohibition/Restriction," The individual was convicted of violating the Clean Water Act and is ineligible for awards only at Brilliant Jewelers, Inc., 902 Broadway, 9th Floor, New York, NY 10010 (Violating Facility)",03/09/1999,Indefinite,,,S4MR3NT2V,,
3227,Individual,,,ALEX,,SKLAVENITIS,,,,,,CANTON,OH,USA,44709,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation-  ineligible for awards to be performed at this Facility Only: Olymco, Inc., 2125 Harrison Ave., S.W., Canton, OH 44706 (Violating Facility) ",12/20/2004,Indefinite,,,S4MR3P5YM,,
3279,Individual,,,ALEXANDER,CHRISTIAN,EDWARDS,,,,,,MONROE,NC,USA,28110,,Reciprocal,EPA,,Ineligible (Proceedings Completed),,11/20/2015,11/19/2018,,"(also JIN CHANG, STEPHEN DICKINSON)",S4MR4YN8P,,
3325,Individual,,,ALEXANDER,,LAPTEFF,,,,,,NOKESVILLE,VA,USA,20181,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of a Clean Water Act violation- ineligible for awards to be performed at this Facility Only: Christ Church School, 49 Seahorse Lane, Christ Church, VA 23031 (Violating Facility) The Clean Water Act (33 USC 1368) forbids any contract, loan, or benefit to any person or company who: 1) Has been convicted of an offense under the CWA 2) intends to use the place where or from which the offense happened (violating facility) AND 3) owns, leases or supervises the facility at the time when a decision about the contract, loan, or other benefits is made.",10/24/2003,Indefinite,,,S4MR3MWXS,,
3368,Individual,,,ALEXANDER,,SALVAGNO,,,,,,SCHENECTADY,NY,USA,12305,,Reciprocal,EPA,,Ineligible (Proceedings Completed),Debarred for Life.,04/11/2005,Indefinite,,"(also AAR CONTRACTOR, INC., THOMAS REED, RAUL SALVAGNO, GERALD LINDQUIST, MICHAEL SHANAHAN, SHEON DIMAIO)",S4MR3N17V,,
3369,Individual,,,ALEXANDER,,SALVAGNO,,,,,,SCHENECTADY,NY,USA,12305,,Reciprocal,EPA,H,Prohibition/Restriction,"For CT Code H Only: Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: 862 Albany Shaker Rd., Latham, NY 12110 (Violating Facility)",01/28/2005,Indefinite,,"(also AAR CONTRACTOR, INC., THOMAS REED, RAUL SALVAGNO, GERALD LINDQUIST, MICHAEL SHANAHAN, SHEON DIMAIO)",S4MR3N17V,,
3400,Individual,,,ALEXANDER,WAYNE,WORSTER,,,,,,LAS VEGAS,NV,USA,891214649,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act Violation- INELIGIBLE FOR AWARDS TO BE PERFORMED AT THIS FACILITY ONLY: Discount Smog, 3451 South Decatur Boulevard, Las Vegas, NV 89102 (Violating Facility)",12/13/2010,Indefinite,,,S4MR3RF26,,
3401,Individual,,,ALEXANDER,ROBERT,XAVIER,,,,,,JENSEN BEACH,FL,USA,34957,,Reciprocal,EPA,,Ineligible (Proceedings Pending),,10/26/2016,Indefinite,,,S4MR567C2,,
3645,Individual,,,ALFRED,,SARONI,III,,,,,HILLSBOROUGH,CA,USA,94010,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: 1274 65th St., Emeryville, CA 94608 (Violating Facility)",05/06/1993,Indefinite,,,S4MR3Q9DQ,,
3655,Individual,,,ALFRED,R.,TAYLOR,,,,,,BRUNSWICK,GA,USA,31523,,Reciprocal,EPA,H,Prohibition/Restriction," The individual was convicted of violating the Clean Water Act is ineligible for awards only at Hanlin Group, Inc. d/b/a LCP Chemicals-Georgia and LCP Chemicals & Plastics, Inc., P.O. Box 484, Foot of South Wood Ave., Linden, NJ 07036 (Violating Facility) Avenue, Linden, NJ 07036",06/04/1999,Indefinite,,,S4MR3NG4H,,
3674,Individual,,,ALFREDO,ELFEGO,ALMAZAN,,,,,,SANTA ANA,CA,USA,92703,,Reciprocal,EPA,,Prohibition/Restriction,"REVIEW THIS INFORMATION PRIOR TO CONTACTING EPA:  Convicted of Clean Water Act Violation:  INELIGIBLE FOR AWARDS TO BE PERFORMED AT THIS FACILITY ONLY: Los Angeles Drum & Barrel Company, Inc., 1153 South Eastern Avenue, Los Angeles, CA  90022 (Violating Facility). The Clean Water Act (33 U.S.C. 1368) forbids any Federal agency from entering into any contract, loan, or benefit to any person or company who- 1. Has been convicted of an offense under the Clean Water Act (33 U.S.C. 1319(c)); AND 2. Intends to use the place where or from which the offense happened (the violating facility) for the contract, loan or benefit; AND 3. Owns, leases or supervises the facility (where or from which the Clean Water Act offense occurred) at the time when a decision about the contract, loan or benefit is made.  ALL THREE CONDITIONS MUST BE PRESENT FOR A PERSON TO BE DENIED A CONTRACT, LOAN OR BENEFIT. ",05/11/2009,Indefinite,,,S4MR4WT9J,,
4365,Individual,,,ALLEN,,GOLDSTONE,,,,,,BOULDER,CO,USA,80304,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: The Boulder Elks Lodge No. 566, 3975 28th St., Boulder, CO 80304 (Violating Facility)",06/09/2006,Indefinite,,,S4MR3PVLH,,
5191,Individual,,,AMIR,,SHAFI,,,,,,HOUSTON,TX,USA,77014,,Reciprocal,EPA,,Ineligible (Proceedings Completed),,04/07/2015,04/06/2018,,,S4MR3RB03,,
5228,Individual,,,AMMANUEL,,NWADIKE,,,,,,MIAMI,FL,USA,33129,,Reciprocal,EPA,,Ineligible (Proceedings Completed),,08/11/2009,08/10/2019,,"(also GENERAL DESIGN PROFESSIONALS, INC., EMMANUEL NWADIKE, EMANUELLE NWADIKE, EMMANUE NWADIKE, EMMANUEL WADIKE, EMMANUEL NADINE, EMMANU NWADIKE, EMMANUEL NWADIKE)",S4MR3Q4Y8,,
5728,Individual,,,ANASTASIOS,K,KOLOKOURIS,"AKA TASO, AKA TASOS",,,,,AVON,NY,USA,14414,,Reciprocal,EPA,,Prohibition/Restriction,"REVIEW THIS INFORMATION PRIOR TO CONTACTING EPA:  Convicted of Clean Air Act Violation:  INELIGIBLE FOR AWARDS TO BE PERFORMED AT THIS FACILITY ONLY: 920 Exchange Street, Rochester, NY 14608-2801. (Violating Facility). The Clean Air Act (42 U.S.C. 7606) forbids any Federal agency from entering into any contract, loan, or benefit to any person or company who- 1. Has been convicted of an offense under the Clean Air Act (42 U.S.C. 7413(c)); AND 2. Intends to use the place where or from which the offense happened (the violating facility) for the contract, loan or benefit; AND 3. Owns, leases or supervises the facility (where or from which the Clean Air Act offense occurred) at the time when a decision about the contract, loan or benefit is made.  ALL THREE CONDITIONS MUST BE PRESENT FOR A PERSON TO BE DENIED A CONTRACT, LOAN OR BENEFIT. ",06/20/2016,Indefinite,,,S4MR554YT,,
5759,Individual,,,ANDKLW,,MANGANAS,,,,,,CANNONSBURG,PA,USA,15317,,Reciprocal,EPA,,Ineligible (Proceedings Pending),,10/04/2016,Indefinite,,(also ANDREW MANGANAS),S4MR55ND3,,
5809,Individual,,,ANDRE,,PARKER,,,,,,RIVERDALE,NY,USA,10471,,Reciprocal,EPA,,Ineligible (Proceedings Completed),Debarred for Life.,08/29/2005,Indefinite,,"(also PARKER ENVIRONMENTAL MANAGEMENT GROUP, INC., FELIPE ESCOBAR, DOCTOR PARKER, DOCTOR PARKER)",S4MR3N022,,
5814,Individual,,,ANDRE,,ROBER,,,,,,LEAWOOD,KS,USA,66204,,Reciprocal,EPA,H,Prohibition/Restriction," The individual was convicted of violating the Clean Water Act and is ineligible for awards only at HCI Chemtech Distribution, Inc., 6301 Northeast Birmingham Rd., Kansas City, MO 64117 (Violating Facility)",07/14/1997,Indefinite,,,S4MR3N7JH,,
5966,Individual,,,ANDREAS,,MANGANAS,,,,,,CANNONSBURG,PA,USA,15317,,Reciprocal,EPA,,Ineligible (Proceedings Pending),,10/04/2016,Indefinite,,(also ANDREW MANGANAS),S4MR55NDJ,,
6038,Individual,,,ANDREW,,CAMERARI,,,,,,ST. AUGUSTINE SOUTH,FL,USA,32086,,Reciprocal,EPA,A,Ineligible (Proceedings Completed),,01/08/1993,01/07/2043,,"(also BILL BYFORD, GEORGE ALTENBACH, GREG TAYLOR)",S4MR3NVPJ,,
6039,Individual,,,ANDREW,,CAMERARI,,,,,,ST. AUGUSTINE SOUTH,FL,USA,32086,,Reciprocal,EPA,R,Ineligible (Proceedings Completed),,01/08/1993,01/07/2043,,"(also BILL BYFORD, GEORGE ALTENBACH, GREG TAYLOR)",S4MR3NVPJ,,
6064,Individual,,,ANDREW,,FEDOROWICZ,,,,,,WHEAT RIDGE,CO,USA,80033,,Reciprocal,EPA,,Prohibition/Restriction,"Convicted of Clean Water Act Violation:  INELIGIBLE FOR AWARDS TO BE PERFORMED AT THIS FACILITY ONLY: Denver Sanitary Company, 3161 Walnut St., Denver, CO 80205 (Violating Facility). The Clean Water Act (33 U.S.C. 1368) forbids any Federal agency from entering into any contract, loan, or benefit to any person or company who- 1. Has been convicted of an offense under the Clean Water Act (33 U.S.C. 1319(c)); AND 2. Intends to use the place where or from which the offense happened (the violating facility) for the contract, loan or benefit; AND 3. Owns, leases or supervises the facility (where or from which the Clean Water Act offense occurred) at the time when a decision about the contract, loan or benefit is made.  ALL THREE CONDITIONS MUST BE PRESENT FOR A PERSON TO BE DENIED A CONTRACT, LOAN OR BENEFIT. ",03/15/1988,Indefinite,,,S4MR3PBWX,,
6121,Individual,,,ANDREW,,MANGANAS,,,,,,CANONSBURG,PA,USA,15317,,Reciprocal,EPA,,Ineligible (Proceedings Pending),,10/04/2016,Indefinite,,"(also PANTHERA PAINTING, INC., MANGANAS ENTERPRISES, INC., A&M RENTAL, INC., ANDKLW MANGANAS, ANDY MANGANAS, MANGANAS PAINTING COMPANY, INC, ANDREAS MANGANAS)",S4MR55MWS,,
6136,Individual,,,ANDREW,LEE,NZULANDER,,,,,,GLENVIEW,IL,USA,60025,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation-  ineligible for awards to be performed at this Facility Only: P and H Plating Company, 3416 West Belmont Ave., Chicago, IL 60618 (Violating Facility)",04/23/1992,Indefinite,,,S4MR3P4MC,,
6178,Individual,,,ANDREW,JACKSON,SIMMONS,JR.,,,,,WILMINGTON,NC,USA,28411,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act- ineligible for awards to be performed at this Facility Only: High Rise Services Company, Inc., P.O. Box 730, 1690 N E Royster Rd., Leland, NC 28451 (Violating Facility)",06/02/2003,Indefinite,,,S4MR3MVQK,,
6198,Individual,,,ANDREW,,THOMPSON,,,,,,WESTFIELD,NY,USA,14787,,Reciprocal,EPA,,Ineligible (Proceedings Completed),"REVIEW THIS INFORMATION PRIOR TO CONTACTING EPA: Convicted of Clean Water Act Violation: INELIGIBLE FOR AWARDS TO BE PERFORMED AT THIS FACILITY ONLY: West Side Pump Station, Westfield, NY (Violating Facility). The Clean Water Act (33 U.S.C. Section 1368) forbids any Federal agency from entering into any contract, loan, or benefit to any person or company who- 1. Has been convicted of an offense under the Clean Air Act (33 U.S.C. Section 1319(c)); AND 2. Intends to use the place where or from which the offense happened (the violating facility) for the contract, loan or benefit; AND 3. Owns, leases or supervises the facility (where or from which the Clean Water Act offense occurred) at the time when a decision about the contract, loan or benefit is made. ALL THREE CONDITIONS MUST BE PRESENT FOR A PERSON TO BE DENIED A CONTRACT, LOAN OR BENEFIT.",10/26/2016,Indefinite,,,S4MR567F6,,
6250,Individual,,,ANDY,,MANGANAS,,,,,,CANNONSBURG,PA,USA,15317,,Reciprocal,EPA,,Ineligible (Proceedings Pending),,10/04/2016,Indefinite,,(also ANDREW MANGANAS),S4MR55ND4,,
6334,Individual,,,ANGEL,DARIO RODRIGUEZ,NUNEZ,,,,,,DURHAM,NC,USA,27713,,Reciprocal,EPA,,Prohibition/Restriction,"REVIEW THIS INFORMATION PRIOR TO CONTACTING EPA:  Convicted of Clean Air Act Violation:  INELIGIBLE FOR AWARDS TO BE PERFORMED AT THIS FACILITY ONLY: 3626 Wake Forrest Highway, Durham, NC 27703 AND 2320 East Club Blvd., Durham, NC 27704 (Violating Facility). The Clean Air Act (42 U.S.C. 7606) forbids any Federal agency from entering into any contract, loan, or benefit to any person or company who- 1. Has been convicted of an offense under the Clean Air Act (42 U.S.C. 7413(c)); AND 2. Intends to use the place where or from which the offense happened (the violating facility) for the contract, loan or benefit; AND 3. Owns, leases or supervises the facility (where or from which the Clean Air Act offense occurred) at the time when a decision about the contract, loan or benefit is made.  ALL THREE CONDITIONS MUST BE PRESENT FOR A PERSON TO BE DENIED A CONTRACT, LOAN OR BENEFIT. ",02/20/2013,Indefinite,,,S4MR49K37,,
7589,Individual,,,ANNETTE,T.,CAMPE,,,,,,WATERFORD,CT,USA,06385,,Reciprocal,EPA,,Ineligible (Proceedings Pending),,07/21/2016,Indefinite,,"(also ANNETTE MONTOYA, WISE WASTE LLC)",S4MR5468N,,
7627,Individual,,,ANNETTE,T.,MONTOYA,,,,,,WATERFORD,CT,USA,06385,,Reciprocal,EPA,,Ineligible (Proceedings Pending),,07/21/2016,Indefinite,,"(also ANNETTE CAMPE, WISE WASTE LLC)",S4MR54697,,
7780,Individual,,,ANTHONY,,BIELLO,II,,,,,BROOKLYN,NY,USA,11232,,Reciprocal,EPA,,Prohibition/Restriction,"REVIEW THIS INFORMATION PRIOR TO CONTACTING EPA:  Convicted of Clean Air Act Violation:  INELIGIBLE FOR AWARDS TO BE PERFORMED AT THIS FACILITY ONLY: D&E Solutions, LLC 1079 Horsham Road, North Wales, PA  19454 (Violating Facility). The Clean Air Act (42 U.S.C. 7606) forbids any Federal agency from entering into any contract, loan, or benefit to any person or company who- 1. Has been convicted of an offense under the Clean Air Act (42 U.S.C. 7413(c)); AND 2. Intends to use the place where or from which the offense happened (the violating facility) for the contract, loan or benefit; AND 3. Owns, leases or supervises the facility (where or from which the Clean Air Act offense occurred) at the time when a decision about the contract, loan or benefit is made.  ALL THREE CONDITIONS MUST BE PRESENT FOR A PERSON TO BE DENIED A CONTRACT, LOAN OR BENEFIT. ",03/09/2015,Indefinite,,,S4MR4XDV9,,
7836,Individual,,,ANTHONY,,CROMPTON,,,,,,KANSAS CITY,MO,USA,64127,,Reciprocal,EPA,,Prohibition/Restriction,"REVIEW THIS INFORMATION PRIOR TO CONTACTING EPA:  Convicted of Clean Air Act Violation:  INELIGIBLE FOR AWARDS TO BE PERFORMED AT THIS FACILITY ONLY: Community Development Corp. of Kansas City, 2420 E. Linwood, Blvd., Kansas City, MO 64109 (Violating Facility). The Clean Air Act (42 U.S.C. 7606) forbids any Federal agency from entering into any contract, loan, or benefit to any person or company who- 1. Has been convicted of an offense under the Clean Air Act (42 U.S.C. 7413(c)); AND 2. Intends to use the place where or from which the offense happened (the violating facility) for the contract, loan or benefit; AND 3. Owns, leases or supervises the facility (where or from which the Clean Air Act offense occurred) at the time when a decision about the contract, loan or benefit is made.  ALL THREE CONDITIONS MUST BE PRESENT FOR A PERSON TO BE DENIED A CONTRACT, LOAN OR BENEFIT. ",05/15/2012,Indefinite,,,S4MR480YZ,,
7850,Individual,,,ANTHONY,MICHAEL,DAVIS,,,,,,CANTON,MI,USA,48188,,Reciprocal,EPA,,Prohibition/Restriction,"REVIEW THIS INFORMATION PRIOR TO CONTACTING EPA:  Convicted of Clean Air Act Violation:  INELIGIBLE FOR AWARDS TO BE PERFORMED AT THIS FACILITY ONLY: 431 Helen Avenue, Otsego, MI 49078 (Violating Facility). The Clean Air Act (42 U.S.C. 7606) forbids any Federal agency from entering into any contract, loan, or benefit to any person or company who- 1. Has been convicted of an offense under the Clean Air Act (42 U.S.C. 7413(c)); AND 2. Intends to use the place where or from which the offense happened (the violating facility) for the contract, loan or benefit; AND 3. Owns, leases or supervises the facility (where or from which the Clean Air Act offense occurred) at the time when a decision about the contract, loan or benefit is made.  ALL THREE CONDITIONS MUST BE PRESENT FOR A PERSON TO BE DENIED A CONTRACT, LOAN OR BENEFIT. ",06/20/2013,Indefinite,,(also ANTHONY DAVIS),S4MR4DJ29,,
7851,Individual,,,ANTHONY,MICHAEL,DAVIS,,,,,,MORGANTOWN,WV,USA,26507,,Reciprocal,EPA,,Ineligible (Proceedings Completed),,02/12/2015,02/11/2018,,"(also MIKE DAVIS, JR., COGSWELL PROPERTY LLC, MICHAEL DAVIS, ANTHONY DAVIS)",S4MR4L21B,,
7852,Individual,,,ANTHONY,MICHAEL THEODORE EDWARD,DAVIS,,,,,,CANTON,MI,USA,48188,,Reciprocal,EPA,,Prohibition/Restriction,"REVIEW THIS INFORMATION PRIOR TO CONTACTING EPA:  Convicted of Clean Air Act Violation:  INELIGIBLE FOR AWARDS TO BE PERFORMED AT THIS FACILITY ONLY: 431 Helen Avenue, Otsego, MI 49078 (Violating Facility). The Clean Air Act (42 U.S.C. 7606) forbids any Federal agency from entering into any contract, loan, or benefit to any person or company who- 1. Has been convicted of an offense under the Clean Air Act (42 U.S.C. 7413(c)); AND 2. Intends to use the place where or from which the offense happened (the violating facility) for the contract, loan or benefit; AND 3. Owns, leases or supervises the facility (where or from which the Clean Air Act offense occurred) at the time when a decision about the contract, loan or benefit is made.  ALL THREE CONDITIONS MUST BE PRESENT FOR A PERSON TO BE DENIED A CONTRACT, LOAN OR BENEFIT. ",06/20/2013,Indefinite,,"(also ANTHONY DAVIS, ANTHONY DAVIS)",S4MR4RQ2N,,
7857,Individual,,,ANTHONY,FRANK,DEJOHN,,,,,,CHESTERFIELD,MO,USA,,,Reciprocal,EPA,H,Prohibition/Restriction,,09/04/1987,Indefinite,,,S4MR3P942,,
7984,Individual,,,ANTHONY,,MCCULLOUGH,,,,,,BARGERSVILLE,IN,USA,46106,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: Miller Environmental Co., Inc., 1402 South Miller St., Shelbyville, IN  46176; Miller Environmental Co., Inc., 831 Elston Dr., Shelbyville, IN  46176; Miller Environmental Co., Inc., 701 West First St., Rushville, IN  46173 (Violating Facility)",10/19/2007,Indefinite,,,S4MR3PVL6,,
8018,Individual,,,ANTHONY,PAUL,NORRIS,,,,,,LELAND,NC,USA,28451,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act- ineligible for awards to be performed at this Facility Only: High Rise Services Company, Inc., P.O. Box 730, 1690 N E Royster Rd., Leland, NC 28451 (Violating Facility)",03/31/2003,Indefinite,,(also TONY NORRIS),S4MR3MVQL,,
8087,Individual,,,ANTHONY,J.,SCALA,,,,,,EAST SYRACUSE,NY,USA,13057,,Reciprocal,EPA,,Ineligible (Proceedings Completed),,05/13/2014,05/12/2019,,,S4MR4F2DG,,
8143,Individual,,,ANTHONY,,VALENTE,,,,,,BROOKVILLE,NY,USA,11753,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: Anthony Concrete Supply Corporation, 157-175 Kent Ave., Brooklyn, NY 11211 (Violating Facility)",05/10/2004,Indefinite,,,S4MR3MWM8,,
8327,Individual,,,ANTONIO,G.,MEDINA,,,,,,BROWNSVILLE,TX,USA,78521,,Reciprocal,EPA,H,Prohibition/Restriction," The individual was convicted of violating the Clean Air Act and is ineligible for awards only at Medina Forwarding Corporation, 3549 East 14th St., Brownsville, TX 78521 (Violating Facility)",10/09/1998,Indefinite,,,S4MR3NFP8,,
8656,Individual,,,ARCHIE,,STEWART,,,,,,PEARL,MS,USA,39209,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation - ineligible for awards to be performed at this Violating Facility Only: Trailer, Truck & Equipment, Inc., 1670 Highway 80 East, Pearl, MS 39209 (Violating Facility)",04/15/2002,Indefinite,,,S4MR3Q6SY,,
8837,Individual,,,ARLYN,E.,HANSON,,,,,,LITTLE CANADA,MN,USA,55127,,Reciprocal,EPA,H,Prohibition/Restriction,"FOR CT CODE H ONLY: Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: Prime Plating, Inc. 11524 96th Ave. North, Maple Grove, MN 55369 (Violating Facility)",04/25/2006,Indefinite,,,S4MR3PG1R,,
