,Classification,Name,Prefix,First,Middle,Last,Suffix,Address 1,Address 2,Address 3,Address 4,City,State / Province,Country,Zip Code,DUNS,Exclusion Program,Excluding Agency,CT Code,Exclusion Type,Additional Comments,Active Date,Termination Date,Record Status,Cross-Reference,SAM Number,CAGE,NPI
1531,Individual,,,ADEM,,ARICI,,,,,,BROOKLYN,NY,USA,11232,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,04/20/2016,04/19/2020,,,S4MR510BQ,,
1578,Individual,,,ADIS,,MEDUNJANIN,,,,,,FLORENCE,CO,USA,81226,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,10/27/2014,10/26/2113,,,S4MR4HBP5,,
1626,Individual,,,ADOLPHUS,WILLIAM,CATO,,,,,,MINERSVILLE,PA,USA,17954,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,12/29/2016,04/22/2027,,,S4MR5CBJF,,
1695,Individual,,,ADRIAN,,ZITLAPOPOCA-HERNANDEZ,,,,,,LISBON,OH,USA,444320010,,Reciprocal,DHS-ICE,R,Ineligible (Proceedings Completed),,02/09/2012,02/05/2040,,(also MARTIN TECUAPACHO-AGUILA),S4MR3RM3P,,
1696,Individual,,,ADRIAN,,ZITLAPOPOCA-HERNANDEZ,,,,,,LISBON,OH,USA,444320010,,Reciprocal,DHS-ICE,08-INA-02,Ineligible (Proceedings Completed),,02/09/2012,02/05/2040,,(also MARTIN TECUAPACHO-AGUILA),S4MR3RM3P,,
2174,Individual,,,AI,HUI,HUANG,,,,,,BLUFFTON,SC,USA,29910,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,05/01/2014,04/30/2017,,,S4MR4DXWS,,
2281,Individual,,,AIVARIS,,SARMAITIS,,,,,,,08338 Vilnius,LTU,,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,04/27/2015,04/26/2018,,(also ALVARIS SARMAITIS),S4MR4KP2W,,
2367,Individual,,,AKOUAVI,,KPADE-AFOLABI,,,,,,DANBURY,CT,USA,06811,,Reciprocal,DHS-ICE,R,Ineligible (Proceedings Completed),,09/08/2011,03/14/2061,,(also GLORIA LAWSON),S4MR3RBVV,,
2368,Individual,,,AKOUAVI,,KPADE-AFOLABI,,,,,,DANBURY,CT,USA,06811,,Reciprocal,DHS-ICE,08-INA-02,Ineligible (Proceedings Completed),,09/08/2011,03/14/2061,,(also GLORIA LAWSON),S4MR3RBVV,,
2711,Individual,,,ALBERT,,ESCOBAR,,,,,,MIAMI,FL,USA,33177,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,09/30/2015,03/27/2023,,(also ALBERTO ALERS),S4MR4TSZK,,
2759,Individual,,,ALBERT,,PEREZ,,,,,,MIAMI,FL,USA,33177,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,09/30/2015,03/27/2023,,(also ALBERTO ALERS),S4MR4TSZM,,
2827,Individual,,,ALBERTO,,ALERS,,,,,,MIAMI,FL,USA,33177,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,09/30/2015,03/27/2023,,"(also ALBERT ESCOBAR, ALBERT PEREZ)",S4MR4TSVZ,,
2840,Individual,,,ALBERTO,,CORTES-CASTRO,,,,,,OAKDALE,LA,USA,714635010,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,05/06/2013,01/11/2034,,,S4MR48T5P,,
2873,Individual,,,ALBERTO,,PENA,,,,,,ANTHONY,TX,USA,88021,,Reciprocal,DHS-ICE,R,Ineligible (Proceedings Completed),,05/03/2012,01/26/2018,,,S4MR3R9NL,,
2874,Individual,,,ALBERTO,,PENA,,,,,,ANTHONY,TX,USA,88021,,Reciprocal,DHS-ICE,08-INA-02,Ineligible (Proceedings Completed),,05/03/2012,01/26/2018,,,S4MR3R9NL,,
3037,Individual,,,ALEJANDRO,,PANTOJA-ROSALES,,,,,,EDGEFIELD,SC,USA,29824,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,07/11/2013,10/04/2043,,,S4MR49MN7,,
3109,Individual,,,ALEKSANDRA,,PROCHNIAK,,,,,,BROOKLYN,NY,USA,11237,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,02/09/2015,02/08/2018,,(also ALEXANDRA URBANEK),S4MR4JNTJ,,
3187,Individual,,,ALEX,A.,CAMPBELL,,,,,,TERRE HAUTE,IN,USA,47808,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,04/14/2014,04/13/2113,,,S4MR4DQFM,,
3220,Individual,,,ALEX,MARTINEZ,MONCON,,,,,,SAVANNAH,GA,USA,31415,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,08/11/2015,08/10/2018,,(also DOUGLAS MARTINEZ MONZOON),S4MR4QFQX,,
3333,Individual,,,ALEXANDER,,LITT,,,,,,MCRAE,GA,USA,310550030,,Reciprocal,DHS-ICE,R,Ineligible (Proceedings Completed),,11/02/2011,07/06/2021,,,S4MR3RNPL,,
3443,Individual,,,ALEXANDRA,,URBANEK,,,,,,BROOKLYN,NY,USA,11237,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,02/09/2015,02/08/2018,,(also ALEKSANDRA PROCHNIAK),S4MR4JNSZ,,
3499,Individual,,,ALEXIS,,PAPATHEODOROU-SCHMILL,,,,,,EL PASO,TX,USA,79912,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,10/24/2014,10/23/2017,,,S4MR4HB1B,,
3514,Individual,,,ALFONSO,SOLANTE,BALDONADO,JR.,,,,,COLEMAN,FL,USA,335211032,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,01/29/2013,01/07/2024,,,S4MR47PP3,,
4381,Individual,,,ALLEN,LEROY,MYERS,,,,,,SEAGOVILLE,TX,USA,75159,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,05/14/2014,12/27/2024,,,S4MR4F3B7,,
4630,Individual,,,ALVARIS,,SARMAITIS,,,,,,,08338 Vilnius,LTU,,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,04/27/2015,04/26/2018,,(also AIVARIS SARMAITIS),S4MR4KMZ9,,
4761,Individual,,,AMADOR,,CORTES-MEZA,,,,,,ATLANTA,GA,USA,30315,,Reciprocal,DHS-ICE,R,Ineligible (Proceedings Completed),,09/08/2011,04/10/2093,,,S4MR3RBVQ,,
5239,Individual,,,AMON,RASHAD,PEOPLES,,,,,,TEXARKANA,TX,USA,755057000,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,05/31/2013,07/18/2022,,,S4MR49442,,
5553,Individual,,,AN,SOON,KIM,,,,,,DANBURY,CT,USA,06811,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,03/08/2013,06/11/2024,,,S4MR485KH,,
5568,Individual,,,ANA,ZOILA,CACERES,,,,,,TALLAHASSEE,FL,USA,32301,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,08/05/2015,06/30/2021,,,S4MR4PRGS,,
5793,Individual,,,ANDRE,,HERBST,,,,,,LAKEWOOD,NJ,USA,08701,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,04/09/2015,04/08/2018,,(also ERWIN HERBST),S4MR4KFDJ,,
6137,Individual,,,ANDREW,VINCENT,O'DONNELL,,,,,,ATLANTA,GA,USA,30315,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,04/28/2014,04/27/2017,,,S4MR4DWCD,,
6147,Individual,,,ANDREW,JOHN,POMA,JR.,,,,,WHITE PLAINS,NY,USA,10607,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,01/19/2016,01/18/2019,,,S4MR4YRN4,,
6332,Individual,,,ANGEL,,MUNOZ,,,,,,FLORENCE,CO,USA,81226,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Pending),,07/23/2014,Indefinite,,,S4MR4G14J,,
6333,Individual,,,ANGEL,,MUNOZ-ESCALANTE,,,,,,RAPID CITY,SD,USA,57702,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,11/05/2012,11/04/2022,,,S4MR46SP9,,
6521,Individual,,,ANGELA,PAOLA,FAULK,,,,,,ROUND ROCK,TX,USA,78681,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,11/06/2014,11/05/2017,,,S4MR4HH9L,,
6544,Individual,,,ANGELA,PAULA,GONZALEZ,,,,,,ROUND ROCK,TX,USA,78681,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,11/06/2014,11/05/2017,,,S4MR4HHB0,,
6771,Individual,,,ANGELA,PAULA,VICHARELLY,,,,,,ROUND ROCK,TX,USA,78681,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,11/06/2014,11/05/2017,,,S4MR4HH9X,,
6772,Individual,,,ANGELA,PAULA,VICHARELLY TAMEZ,,,,,,ROUND ROCK,TX,USA,78681,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,11/06/2014,11/05/2017,,,S4MR4HH9Z,,
6889,Individual,,,ANGELITA,MAGAT,FARRELL,,,,,,MITCHELL,SD,USA,573015412,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,02/04/2013,02/03/2023,,,S4MR47S7G,,
7364,Individual,,,ANNA,MARIA,MONTANO-SALAS,,,,,,FARMINGTON,NM,USA,87401,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,04/17/2015,04/16/2018,,,S4MR4KJD9,,
7724,Individual,,,ANOUSHIRVAN,,SARRAF,,,,,,ROCKVILLE,MD,USA,20850,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,06/06/2016,06/05/2021,,,S4MR535DF,,
7731,Individual,,,ANSELMO,,PENA-TELIO,,,,,,GREENVILLE,IL,USA,62246,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,04/22/2014,05/11/2019,,,S4MR4DT28,,
7762,Individual,,,ANTHONY,,AMAYA,,,,,,FORT DIX,NJ,USA,08640,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,05/08/2014,09/14/2017,,,S4MR4F0VQ,,
7908,Individual,,,ANTHONY,T,FULLER,,,,,,LOMPOC,CA,USA,93436,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,02/27/2015,02/26/2020,,,S4MR4JXJX,,
7975,Individual,,,ANTHONY,,MANGIONE,,,,,,BEAUMONT,TX,USA,777206020,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,09/19/2013,07/27/2027,,,S4MR4BH5N,,
8092,Individual,,,ANTHONY,R.,SHERLEY,,,,,,MARIANNA,FL,USA,32447,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,03/12/2014,06/09/2061,,,S4MR4D9FD,,
8121,Individual,,,ANTHONY,DESHAWN,THOMAS,,,,,,ROSHARON,TX,USA,77583,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,12/22/2014,03/25/2018,,,S4MR4J0K4,,
8267,Individual,,,ANTONIO,JOSE,BACA,,,,,,PHOENIX,AZ,USA,85043,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,11/03/2015,11/02/2018,,,S4MR4WQ26,,
8315,Individual,,,ANTONIO,,LOPEZ,,,,,,MORGANTOWN,WV,USA,265071000,,Reciprocal,DHS-ICE,R,Ineligible (Proceedings Completed),,06/07/2012,09/01/2019,,"(also JUAN LOPEZ-PONCE, JUAN LOPEZ)",S4MR3R89S,,
8328,Individual,,,ANTONIO,UBALDO,MENDEZ-LOPEZ,,,,,,FOLKSTON,GA,USA,31537,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,07/16/2015,05/17/2019,,,S4MR4LMMW,,
8350,Individual,,,ANTONIO,,RAMIREZ-CATALAN,,,,,,MCRAE HELENA,GA,USA,31055,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,07/16/2015,08/03/2019,,,S4MR4LMNC,,
8455,Individual,,,APOLLOS,DAVIS,PHILIP,,,,,,DALLAS,TX,USA,75241,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,06/22/2016,06/21/2019,,"(also MACSOY USA, INC.)",S4MR53LNC,,
8599,Individual,,,ARACELI,,TREVINO-RODRIGUEZ,,,,,,GREENVILLE,IL,USA,62246,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,05/14/2014,08/03/2018,,,S4MR4F3C2,,
8685,Individual,,,ARI,,FLOHR,,,,,,BROOKLYN,NY,USA,11249,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,04/09/2015,04/08/2018,,(also ARYEA FLOHR),S4MR4KFDL,,
8839,Individual,,,ARMAGAN,,TANIR,,,,,,WOODLAND PARK,NJ,USA,07424,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,02/10/2016,02/09/2019,,,S4MR4ZCRY,,
8884,Individual,,,ARMANDO,,GARCIA,,,,,,SAN DIEGO,CA,USA,92101,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,05/14/2014,05/13/2017,,,S4MR4F39N,,
8885,Individual,,,ARMANDO,,GARCIA-ORTIZ,,,,,,SAN DIEGO,CA,USA,92101,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,05/14/2014,05/13/2017,,,S4MR4F39R,,
8906,Individual,,,ARMANDO,,MORA,,,,,,BROWNSVILLE,TX,USA,78520,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,11/26/2014,02/21/2034,,,S4MR4HR1F,,
9040,Individual,,,ARNOLD,RAY,SEE,JR.,,,,,PINE KNOT,KY,USA,42635,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,10/18/2016,08/27/2021,,,S4MR55V5X,,
9366,Individual,,,ARTURO,EDUARDO,CANTU,,,,,,RIVERSIDE,IA,USA,52327,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,12/16/2014,12/15/2017,,,S4MR4HYHS,,
9393,Individual,,,ARTURO,,QUIROS,,,,,,WATER MILL,NY,USA,11976,,Reciprocal,DHS-ICE,08-INA-02,Ineligible (Proceedings Completed),,05/09/2011,02/13/2017,,,S4MR3RJCR,,
9394,Individual,,,ARTURO,,QUIROS,,,,,,WATER MILL,NY,USA,11976,,Reciprocal,DHS-ICE,A,Ineligible (Proceedings Completed),,05/09/2011,02/13/2017,,,S4MR3RJCR,,
9399,Individual,,,ARTURO,,SALQUIL-GOMEZ,,,,,,SAVANNAH,GA,USA,31419,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,08/11/2015,08/10/2017,,,S4MR4QFQS,,
9445,Individual,,,ARYEA,YEHUDA,FLOHR,,,,,,BROOKLYN,NY,USA,11249,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,04/09/2015,04/08/2018,,(also ARI FLOHR),S4MR4KFDG,,
9977,Individual,,,AURELIO,,MUNOZ-ESCALANTE,,,,,,RAPID CITY,SD,USA,57702,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,11/05/2012,11/04/2017,,,S4MR46SQ3,,
10374,Individual,,,BAO,KI,KO,,,,,,OWENSBORO,KY,USA,423034641,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,05/17/2013,05/16/2017,,,S4MR48Z4H,,
10728,Individual,,,BARBARA,,MUNOZ,,,,,,RAPID CITY,SD,USA,57702,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,11/05/2012,11/04/2022,,,S4MR46SPB,,
10944,Individual,,,BARRY,,BONNER,,,,,,POLLOCK,LA,USA,714674050,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,09/03/2013,09/02/2112,,,S4MR4B9BP,,
10951,Individual,,,BARRY,WALTER,BUJOL,JR.,,,,,POLLOCK,LA,USA,714674050,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,09/03/2013,09/02/2112,,,S4MR4B996,,
11313,Individual,,,BELEAL,,GARCIA-GONZALEZ,,,,,,ADELANTO,CA,USA,92301,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,04/22/2014,03/02/2056,,,S4MR4DT33,,
11742,Individual,,,BERNARD,ALMAN,SMITH,,,,,,WILMINGTON,NC,USA,28411,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,01/23/2014,01/22/2017,,,S4MR4CQLR,,
11758,Individual,,,BERNARDO,,MANCINAS-FLORES,,,,,,ADELANTO,CA,USA,92301,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,04/14/2014,07/24/2051,,,S4MR4DQQ0,,
11762,Individual,,,BERNARDO,,PENA,,,,,,SAN ANTONIO,TX,USA,78206,,Reciprocal,DHS-ICE,08-INA-02,Ineligible (Proceedings Completed),,02/09/2012,04/19/2017,,(also BERNIE PENA),S4MR3RNQX,,
11763,Individual,,,BERNARDO,,PENA,,,,,,SAN ANTONIO,TX,USA,78206,,Reciprocal,DHS-ICE,R,Ineligible (Proceedings Completed),,02/09/2012,04/19/2017,,(also BERNIE PENA),S4MR3RNQX,,
11805,Individual,,,BERNIE,,PENA,,,,,,SAN ANTONIO,TX,USA,78206,,Reciprocal,DHS-ICE,R,Ineligible (Proceedings Completed),,02/09/2012,04/19/2017,,(also BERNARDO PENA),S4MR3RM3N,,
11806,Individual,,,BERNIE,,PENA,,,,,,SAN ANTONIO,TX,USA,78206,,Reciprocal,DHS-ICE,08-INA-02,Ineligible (Proceedings Completed),,02/09/2012,04/19/2017,,(also BERNARDO PENA),S4MR3RM3N,,
12451,Individual,,,BIDEMI,A.,BELLO,,,,,,DANBURY,CT,USA,068112956,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,12/11/2012,10/10/2035,,,S4MR4754R,,
12640,Individual,,,BIN,,LIU,,,,,,OLATHE,KS,USA,66062,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,02/10/2016,02/09/2017,,,S4MR4ZCTG,,
13403,Individual,,,BRANDON,C.,GILLREATH,,,,,,DEFUNIAK SPRINGS,FL,USA,32433,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,04/09/2015,04/08/2114,,,S4MR4KFJY,,
13406,Individual,,,BRANDON,C,HALEAMAU,,,,,,PEARL CITY,HI,USA,96782,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,10/29/2014,10/28/2017,,,S4MR4HCMR,,
13434,Individual,,,BRANDON,,RICHTER,,,,,,HIGHLANDS RANCH,CO,USA,80126,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,07/08/2014,07/07/2017,,,S4MR4FTDH,,
13441,Individual,,,BRANDON,DI'JION,SHAPIRO,,,,,,MARION,IL,USA,62959,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,08/29/2016,12/31/2020,,,S4MR54XGV,,
14324,Individual,,,BRIAN,C.,WEISS,,,,,,COLEMAN,FL,USA,335211031,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,06/18/2013,12/06/2030,,,S4MR49C1N,,
14451,Individual,,,BRITTANIE,SHAWNTAE,BRATTAIN,,,,,,SAN SABA,TX,USA,76877,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,04/09/2015,08/23/2019,,,S4MR4KFJH,,
14488,Individual,,,BRITTANY,ALYSSA,WALKER,,,,,,BRUCETON MILLS,WV,USA,26525,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,11/02/2016,10/10/2020,,,S4MR56ZV6,,
14784,Individual,,,BRYAN,NELSON,SCHONBERG,,,,,,ANTHONY,TX,USA,79821,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,06/18/2014,07/17/2021,,,S4MR4FLCC,,
14832,Individual,,,BUDDY,WAYNE,ANDERSON,,,,,,PETERSBURG,VA,USA,23804,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,04/14/2014,04/03/2057,,,S4MR4DQQ4,,
14981,Individual,,,C.J.,,COTTINGHAM,,,,,,BEAUMONT,TX,USA,77720,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,10/22/2015,10/13/2022,,,S4MR4VPS4,,
15394,Individual,,,CARL,MICHAEL,CAMPBELL,,,,,,TERRE HAUTE,IN,USA,47808,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,08/13/2014,08/12/2113,,,S4MR4GBLZ,,
15742,Individual,,,CARLOS,,CASTRO,JR.,,,,,PASADENA,TX,USA,77503,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,09/09/2014,09/08/2017,,,S4MR4GR9K,,
15820,Individual,,,CARLOS,,MELO,,,,,,FLORENCE,CO,USA,81226,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,10/27/2014,04/29/2021,,,S4MR4HBQ9,,
15825,Individual,,,CARLOS,,MINGUELA-ORTIZ,,,,,,ANASCO,PR,USA,00610,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,06/01/2016,05/31/2019,,,S4MR531BC,,
15854,Individual,,,CARLOS,XAVIER,ORTIZ-OLIVERA,,,,,,CAROLINA,PR,USA,00988,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,09/09/2015,09/08/2018,,,S4MR4SPR2,,
15917,Individual,,,CARLOS,,VALDEZ,,,,,,BIG SPRING,TX,USA,79720,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,09/11/2014,01/21/2022,,,S4MR4GS68,,
17568,Individual,,,CESAR,,AGUILAR-REBOLLAR,,,,,,MIAMI,FL,USA,33183,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,07/16/2015,07/15/2018,,,S4MR4LMMZ,,
17577,Individual,,,CESAR,ANTONIO,CARDONA-GARCIA,,,,,,ADELANTO,CA,USA,92301,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,01/09/2014,06/10/2021,,,S4MR4CKDG,,
17628,Individual,,,CESAR,ENRIQUE,SARMIENTO-MENDOZA,,,,,,BIG SPRING,TX,USA,79720,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,04/22/2014,04/26/2026,,,S4MR4DT31,,
17642,Individual,,,CEVDET,,ARICI,,,,,,BUCHANAN,NY,USA,10511,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,01/12/2016,01/11/2019,,,S4MR4YKFT,,
17675,Individual,,,CHAD,A.,SALVATORE,,,,,,LORETTO,PA,USA,15940,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,08/27/2015,06/12/2031,,,S4MR4RWLF,,
17711,Individual,,,CHAIM,,WALTER,,,,,,BROOKLYN,NY,USA,11211,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,03/13/2015,03/12/2018,,(also LEIBY WALTER),S4MR4K2XX,,
17727,Individual,,,CHAN,GIA,DUONG,,,,,,DULUTH,MN,USA,55814,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,03/26/2014,12/29/2021,,,S4MR4DH8F,,
17785,Individual,,,CHANG,JIN,SONG,,,,,,WASHINGTON,MS,USA,39190,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,06/02/2016,06/01/2019,,,S4MR53255,,
18013,Individual,,,CHARLES,RAY,BENAVIDEZ,,,,,,TEHACHAPI,CA,USA,93581,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,08/18/2015,04/17/2021,,,S4MR4QZZS,,
18328,Individual,,,CHARLES,,LEFEBVRE,,,,,,BENNETTSVILLE,SC,USA,295125220,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,07/31/2013,12/11/2024,,,S4MR49W5N,,
18439,Individual,,,CHARLES,,NEYHART,,,,,,MARIANNA,FL,USA,324477007,,Reciprocal,DHS-ICE,R,Ineligible (Proceedings Completed),,11/22/2011,07/24/2050,,,S4MR3RMYX,,
18541,Individual,,,CHARLES,,SHEARON,,,,,,FORREST CITY,AR,USA,72336,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,10/18/2016,01/07/2022,,,S4MR55V5G,,
18624,Individual,,,CHARLES,,TRULL,,,,,,MARION,IL,USA,629597500,,Reciprocal,DHS-ICE,R,Ineligible (Proceedings Completed),,12/02/2011,01/06/2037,,,S4MR3RLQ4,,
18650,Individual,,,CHARLES,,WERENCZAK,,,,,,MARIANNA,FL,USA,324477007,,Reciprocal,DHS-ICE,R,Ineligible (Proceedings Completed),,12/02/2011,07/07/2046,,,S4MR3RLQ8,,
18932,Individual,,,CHENG,JIE,CHEN,,,,,,KATY,TX,USA,77494,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,11/13/2014,11/12/2017,,,S4MR4HKYP,,
18938,Individual,,,CHENGLUN,,MA,,,,,,HOUSTON,TX,USA,77036,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,06/02/2016,06/01/2021,,(also PABLO MA),S4MR5324Y,,
18943,Individual,,,CHENZONG,,YU,,,,,,HOUSTON,TX,USA,77081,,Reciprocal,DHS-ICE,,Ineligible (Proceedings Completed),,06/02/2016,06/01/2018,,,S4MR53257,,
